ID,Name,Score
55878038,Chaos Dragon Levianeer,95
82301904,Chaos Emperor Dragon - Envoy of the End,95
80344569,Neo-Spacian Grand Mole,95
33212663,Archnemeses Eschatos,95
63845230,Eater of Millions,95
9748752,Caius the Shadow Monarch,95
82385847,Dinowrestler Pankratops,95
78010363,Witch of the Black Forest,95
21502796,"Ryko, Lightsworn Hunter",95
32909498,Kashtira Fenrir,95
9596126,Chaos Sorcerer,95
71197066,"Gizmek Orochi, the Serpentron Sky Slasher",95
72989439,Black Luster Soldier - Envoy of the Beginning,95
19403423,Time-Tearing Morganite,95
4538826,"Chaos Emperor, the Dragon of Armageddon",95
83764719,Monster Reborn,95
79571449,Graceful Charity,95
18144507,Harpie's Feather Duster,95
55144522,Pot of Greed,95
14532163,Lightning Storm,95
73915051,Scapegoat,95
74191942,Painful Choice,95
85602018,Last Will,95
44763025,Delinquent Duo,95
70828912,Premature Burial,95
54447022,Soul Charge,95
12580477,Raigeki,95
19613556,Heavy Storm,95
3280747,Sixth Sense,95
29301450,S:P Little Knight,95
49202162,Black Luster Soldier - Soldier of Chaos,95
73580471,Black Rose Dragon,95
55285840,Time Thief Redoer,95
85401123,Mokomoko,95
84797028,Clockwork Night,95
95440946,Eldlich the Golden Lord,95
49776811,Shining Piecephilia,90
15341821,Dandylion,90
67284107,Scapeghost,90
4929256,Mobius the Frost Monarch,90
23205979,Spirit Reaper,90
26202165,Sangan,90
65192027,Dark Armed Dragon,90
33184167,Tribe-Infecting Virus,90
94392192,Kashtira Ogre,90
33420078,Plaguespreader Zombie,90
34541543,Master Tao the Chanter,90
38775407,Sengenjin Wakes from a Millennium,90
67441435,Glow-Up Bulb,90
61901281,Black Dragon Collapserpent,90
9929398,Blackwing - Gofu the Vague Shadow,90
96622984,Predaplant Flytrap,90
68304193,Kashtira Unicorn,90
77498348,Black Luster Soldier - Envoy of the Evening Twilight,90
51945556,Zaborg the Thunder Monarch,90
2009101,Blackwing - Gale the Whirlwind,90
31560081,Magician of Faith,90
22624373,"Lyla, Lightsworn Sorceress",90
1966438,Abominable Unchained Soul,90
57421866,Level Eater,90
73125233,Raiza the Storm Monarch,90
99365553,Lightpulsar Dragon,90
26914168,Dark Honest,90
55591586,Thunder Dragonduo,90
90807199,Danger! Thunderbird!,90
43316238,Danger! Bigfoot!,90
44330098,Gorz the Emissary of Darkness,90
12538374,Treeborn Frog,90
28692962,Mekk-Knight Purple Nightfall,90
57624336,Archfiend Eccentrick,90
24081957,Sinful Spoils of Subversion - Snake-Eye,90
42829885,The Forceful Sentry,90
8267140,Cosmic Cyclone,90
5318639,Mystical Space Typhoon,90
14087893,Book of Moon,90
4031928,Change of Heart,90
1475311,Allure of Darkness,90
1118137,Power of the Guardians,90
45986603,Snatch Steal,90
53129443,Dark Hole,90
71044499,Nobleman of Crossout,90
52340444,Sky Striker Mecha - Hornet Drones,90
79844764,The Monarchs Stormforth,90
69162969,Lightning Vortex,90
17375316,Confiscation,90
87910978,Brain Control,90
17626381,Supply Squad,90
24440742,Silhouhatte Trick,90
53582587,Torrential Tribute,90
41420027,Solemn Judgment,90
44822037,Angel Statue - Azurune,90
97077563,Call of the Haunted,90
38761908,Paleozoic Dinomischus,90
62279055,Magic Cylinder,90
98978921,Link Spider,90
1528054,Silhouhatte Rabbit,90
38342335,Knightmare Unicorn,90
2857636,Knightmare Phoenix,90
75452921,Knightmare Cerberus,90
21887175,Mekk-Knight Crusadia Avramax,90
3040496,"Chaos Ruler, the Chaotic Magical Dragon",90
93039339,Super Starslayer TY-PHON - Sky Crisis,90
9822220,Lord of the Heavenly Prison,90
33854624,Bystial Magnamhut,90
6637331,Bystial Druiswurm,90
72656408,Bystial Baldrake,90
36629635,Dandy Whitelion,90
60242223,Bystial Saronir,90
81497285,Lady Labrynth of the Silver Castle,90
71453557,Autonomous Action Unit,90
52382379,Nemleria Dream Devourer - Reveil,90
96676583,Maliss Chessy Cat,90
69272449,Maliss White Rabbit,90
32061192,Maliss Dormouse,90
20938824,Maliss March Hare,90
37021315,Primineral Mandstrong,85
56809158,Mekk-Knight Red Moon,80
6180710,Dream Shark,80
84290642,Snipe Hunter,80
